objectsCount time allocatedMemory usedMemory commandType
1 3.0516e-05 4096 72 ALLOCATE
2 4.147e-06 4096 144 ALLOCATE
3 1.0009e-05 4096 216 ALLOCATE
4 5.831e-06 4096 288 ALLOCATE
5 4.659e-06 4096 360 ALLOCATE
6 4.258e-06 4096 432 ALLOCATE
7 4.088e-06 4096 504 ALLOCATE
8 1.9497e-05 4096 576 ALLOCATE
9 3.596e-06 4096 648 ALLOCATE
10 5.831e-06 4096 720 ALLOCATE
11 3.787e-06 4096 792 ALLOCATE
12 3.527e-06 4096 864 ALLOCATE
13 5.81e-06 4096 936 ALLOCATE
14 4.568e-06 4096 1008 ALLOCATE
15 4.398e-06 4096 1080 ALLOCATE
16 8.766e-06 4096 1152 ALLOCATE
17 6.542e-06 4096 1224 ALLOCATE
18 6.311e-06 4096 1296 ALLOCATE
19 5.561e-06 4096 1368 ALLOCATE
20 7.013e-06 4096 1440 ALLOCATE
21 7.173e-06 4096 1512 ALLOCATE
22 7.574e-06 4096 1584 ALLOCATE
23 4.959e-06 4096 1656 ALLOCATE
24 1.2744e-05 4096 1728 ALLOCATE
25 5.44e-06 4096 1800 ALLOCATE
26 8.536e-06 4096 1872 ALLOCATE
27 1.4567e-05 4096 1944 ALLOCATE
28 6.592e-06 4096 2016 ALLOCATE
29 5.64e-06 4096 2088 ALLOCATE
30 5.129e-06 4096 2160 ALLOCATE
31 7.284e-06 4096 2232 ALLOCATE
32 1.0149e-05 4096 2304 ALLOCATE
33 5.711e-06 4096 2376 ALLOCATE
34 5.65e-06 4096 2448 ALLOCATE
35 6.402e-06 4096 2520 ALLOCATE
36 6.182e-06 4096 2592 ALLOCATE
37 6.232e-06 4096 2664 ALLOCATE
38 1.0009e-05 4096 2736 ALLOCATE
39 9.778e-06 4096 2808 ALLOCATE
40 6.893e-06 4096 2880 ALLOCATE
41 1.1571e-05 4096 2952 ALLOCATE
42 7.964e-06 4096 3024 ALLOCATE
43 7.995e-06 4096 3096 ALLOCATE
44 8.236e-06 4096 3168 ALLOCATE
45 7.864e-06 4096 3240 ALLOCATE
46 1.0329e-05 4096 3312 ALLOCATE
47 7.444e-06 4096 3384 ALLOCATE
48 6.712e-06 4096 3456 ALLOCATE
49 8.646e-06 4096 3528 ALLOCATE
50 9.057e-06 4096 3600 ALLOCATE
51 1.6912e-05 4096 3672 ALLOCATE
52 7.924e-06 4096 3744 ALLOCATE
53 8.857e-06 4096 3816 ALLOCATE
54 7.885e-06 4096 3888 ALLOCATE
55 9.127e-06 4096 3960 ALLOCATE
56 9.858e-06 4096 4032 ALLOCATE
57 1.7352e-05 8192 4104 ALLOCATE
58 8.656e-06 8192 4176 ALLOCATE
59 1.0209e-05 8192 4248 ALLOCATE
60 7.594e-06 8192 4320 ALLOCATE
61 8.035e-06 8192 4392 ALLOCATE
62 7.765e-06 8192 4464 ALLOCATE
63 1.8424e-05 8192 4536 ALLOCATE
64 7.894e-06 8192 4608 ALLOCATE
65 7.945e-06 8192 4680 ALLOCATE
66 7.955e-06 8192 4752 ALLOCATE
67 8.145e-06 8192 4824 ALLOCATE
68 1.3716e-05 8192 4896 ALLOCATE
69 8.957e-06 8192 4968 ALLOCATE
70 1.2212e-05 8192 5040 ALLOCATE
71 1.1011e-05 8192 5112 ALLOCATE
72 1.036e-05 8192 5184 ALLOCATE
73 1.0049e-05 8192 5256 ALLOCATE
74 9.888e-06 8192 5328 ALLOCATE
75 1.0209e-05 8192 5400 ALLOCATE
76 1.3194e-05 8192 5472 ALLOCATE
77 1.085e-05 8192 5544 ALLOCATE
78 1.049e-05 8192 5616 ALLOCATE
79 1.4056e-05 8192 5688 ALLOCATE
80 1.0991e-05 8192 5760 ALLOCATE
81 1.064e-05 8192 5832 ALLOCATE
82 1.051e-05 8192 5904 ALLOCATE
83 1.076e-05 8192 5976 ALLOCATE
84 1.068e-05 8192 6048 ALLOCATE
85 1.045e-05 8192 6120 ALLOCATE
86 1.5348e-05 8192 6192 ALLOCATE
87 1.3746e-05 8192 6264 ALLOCATE
88 1.4607e-05 8192 6336 ALLOCATE
89 1.096e-05 8192 6408 ALLOCATE
90 1.1401e-05 8192 6480 ALLOCATE
91 1.0801e-05 8192 6552 ALLOCATE
92 1.086e-05 8192 6624 ALLOCATE
93 1.092e-05 8192 6696 ALLOCATE
94 1.088e-05 8192 6768 ALLOCATE
95 2.3354e-05 8192 6840 ALLOCATE
96 1.4928e-05 8192 6912 ALLOCATE
97 1.4347e-05 8192 6984 ALLOCATE
98 1.4397e-05 8192 7056 ALLOCATE
99 1.614e-05 8192 7128 ALLOCATE
100 1.7613e-05 8192 7200 ALLOCATE
101 1.3686e-05 8192 7272 ALLOCATE
102 1.4026e-05 8192 7344 ALLOCATE
103 1.8174e-05 8192 7416 ALLOCATE
104 1.6281e-05 8192 7488 ALLOCATE
105 1.8555e-05 8192 7560 ALLOCATE
106 1.4307e-05 8192 7632 ALLOCATE
107 1.9055e-05 8192 7704 ALLOCATE
108 1.7843e-05 8192 7776 ALLOCATE
109 1.9095e-05 8192 7848 ALLOCATE
110 1.4116e-05 8192 7920 ALLOCATE
111 2.0187e-05 8192 7992 ALLOCATE
112 1.9586e-05 8192 8064 ALLOCATE
113 2.5548e-05 12288 8136 ALLOCATE
114 1.2262e-05 12288 8208 ALLOCATE
115 1.2433e-05 12288 8280 ALLOCATE
116 2.1009e-05 12288 8352 ALLOCATE
117 1.5018e-05 12288 8424 ALLOCATE
118 1.3255e-05 12288 8496 ALLOCATE
119 1.618e-05 12288 8568 ALLOCATE
120 1.6691e-05 12288 8640 ALLOCATE
121 1.608e-05 12288 8712 ALLOCATE
122 1.3555e-05 12288 8784 ALLOCATE
123 1.2864e-05 12288 8856 ALLOCATE
124 2.119e-05 12288 8928 ALLOCATE
125 1.4026e-05 12288 9000 ALLOCATE
126 2.7141e-05 12288 9072 ALLOCATE
127 1.8745e-05 12288 9144 ALLOCATE
128 2.0939e-05 12288 9216 ALLOCATE
129 1.4687e-05 12288 9288 ALLOCATE
130 1.3214e-05 12288 9360 ALLOCATE
131 1.2954e-05 12288 9432 ALLOCATE
132 1.2934e-05 12288 9504 ALLOCATE
133 1.2904e-05 12288 9576 ALLOCATE
134 1.3094e-05 12288 9648 ALLOCATE
135 4.0716e-05 12288 9720 ALLOCATE
136 1.5429e-05 12288 9792 ALLOCATE
137 1.5599e-05 12288 9864 ALLOCATE
138 1.612e-05 12288 9936 ALLOCATE
139 1.588e-05 12288 10008 ALLOCATE
140 1.4878e-05 12288 10080 ALLOCATE
141 1.7643e-05 12288 10152 ALLOCATE
142 1.9406e-05 12288 10224 ALLOCATE
143 1.8354e-05 12288 10296 ALLOCATE
144 1.7373e-05 12288 10368 ALLOCATE
145 2.4846e-05 12288 10440 ALLOCATE
146 2.7181e-05 12288 10512 ALLOCATE
147 2.0137e-05 12288 10584 ALLOCATE
148 1.8064e-05 12288 10656 ALLOCATE
149 1.7443e-05 12288 10728 ALLOCATE
150 1.8124e-05 12288 10800 ALLOCATE
151 1.7723e-05 12288 10872 ALLOCATE
152 1.7292e-05 12288 10944 ALLOCATE
153 2.6339e-05 12288 11016 ALLOCATE
154 2.1099e-05 12288 11088 ALLOCATE
155 2.0538e-05 12288 11160 ALLOCATE
156 1.8664e-05 12288 11232 ALLOCATE
157 5.1957e-05 12288 11304 ALLOCATE
158 2.5718e-05 12288 11376 ALLOCATE
159 1.9246e-05 12288 11448 ALLOCATE
160 1.8083e-05 12288 11520 ALLOCATE
161 1.8033e-05 12288 11592 ALLOCATE
162 1.8234e-05 12288 11664 ALLOCATE
163 3.0897e-05 12288 11736 ALLOCATE
164 2.4485e-05 12288 11808 ALLOCATE
165 2.9475e-05 12288 11880 ALLOCATE
166 2.703e-05 12288 11952 ALLOCATE
167 2.4645e-05 12288 12024 ALLOCATE
168 2.9014e-05 12288 12096 ALLOCATE
169 3.4845e-05 16384 12168 ALLOCATE
170 2.1259e-05 16384 12240 ALLOCATE
171 2.4145e-05 16384 12312 ALLOCATE
172 2.0278e-05 16384 12384 ALLOCATE
173 1.9636e-05 16384 12456 ALLOCATE
174 1.9476e-05 16384 12528 ALLOCATE
175 2.3654e-05 16384 12600 ALLOCATE
176 2.0188e-05 16384 12672 ALLOCATE
177 2.4606e-05 16384 12744 ALLOCATE
178 2.3504e-05 16384 12816 ALLOCATE
179 2.0709e-05 16384 12888 ALLOCATE
180 2.3964e-05 16384 12960 ALLOCATE
181 2.0659e-05 16384 13032 ALLOCATE
182 1.9817e-05 16384 13104 ALLOCATE
183 2.0007e-05 16384 13176 ALLOCATE
184 1.9847e-05 16384 13248 ALLOCATE
185 2.4836e-05 16384 13320 ALLOCATE
186 2.3423e-05 16384 13392 ALLOCATE
187 2.1169e-05 16384 13464 ALLOCATE
188 2.0318e-05 16384 13536 ALLOCATE
189 3.205e-05 16384 13608 ALLOCATE
190 2.4325e-05 16384 13680 ALLOCATE
191 2.4556e-05 16384 13752 ALLOCATE
192 2.4295e-05 16384 13824 ALLOCATE
193 2.5328e-05 16384 13896 ALLOCATE
194 2.7802e-05 16384 13968 ALLOCATE
195 2.5027e-05 16384 14040 ALLOCATE
196 2.4225e-05 16384 14112 ALLOCATE
197 3.4444e-05 16384 14184 ALLOCATE
198 3.234e-05 16384 14256 ALLOCATE
199 2.3504e-05 16384 14328 ALLOCATE
200 2.6399e-05 16384 14400 ALLOCATE
201 2.2382e-05 16384 14472 ALLOCATE
202 2.149e-05 16384 14544 ALLOCATE
203 2.13e-05 16384 14616 ALLOCATE
204 2.1189e-05 16384 14688 ALLOCATE
205 2.1319e-05 16384 14760 ALLOCATE
206 2.155e-05 16384 14832 ALLOCATE
207 2.152e-05 16384 14904 ALLOCATE
208 2.7502e-05 16384 14976 ALLOCATE
209 2.3273e-05 16384 15048 ALLOCATE
210 3.5136e-05 16384 15120 ALLOCATE
211 3.3833e-05 16384 15192 ALLOCATE
212 2.2773e-05 16384 15264 ALLOCATE
213 2.693e-05 16384 15336 ALLOCATE
214 2.2752e-05 16384 15408 ALLOCATE
215 3.6057e-05 16384 15480 ALLOCATE
216 2.4105e-05 16384 15552 ALLOCATE
217 2.2402e-05 16384 15624 ALLOCATE
218 3.1459e-05 16384 15696 ALLOCATE
219 3.0397e-05 16384 15768 ALLOCATE
220 2.9665e-05 16384 15840 ALLOCATE
221 3.8251e-05 16384 15912 ALLOCATE
222 2.72e-05 16384 15984 ALLOCATE
223 2.4125e-05 16384 16056 ALLOCATE
224 3.6087e-05 16384 16128 ALLOCATE
225 4.1067e-05 20480 16200 ALLOCATE
226 3.1709e-05 20480 16272 ALLOCATE
227 2.4365e-05 20480 16344 ALLOCATE
228 2.3154e-05 20480 16416 ALLOCATE
229 2.3163e-05 20480 16488 ALLOCATE
230 2.8553e-05 20480 16560 ALLOCATE
231 3.6208e-05 20480 16632 ALLOCATE
232 3.6027e-05 20480 16704 ALLOCATE
233 2.7983e-05 20480 16776 ALLOCATE
234 3.7139e-05 20480 16848 ALLOCATE
235 2.7982e-05 20480 16920 ALLOCATE
236 3.7079e-05 20480 16992 ALLOCATE
237 3.1178e-05 20480 17064 ALLOCATE
238 2.8002e-05 20480 17136 ALLOCATE
239 2.4094e-05 20480 17208 ALLOCATE
240 2.3975e-05 20480 17280 ALLOCATE
241 3.5096e-05 20480 17352 ALLOCATE
242 3.0076e-05 20480 17424 ALLOCATE
243 2.5358e-05 20480 17496 ALLOCATE
244 3.6127e-05 20480 17568 ALLOCATE
245 2.5708e-05 20480 17640 ALLOCATE
246 4.1898e-05 20480 17712 ALLOCATE
247 3.8351e-05 20480 17784 ALLOCATE
248 2.5688e-05 20480 17856 ALLOCATE
249 2.4926e-05 20480 17928 ALLOCATE
250 2.4836e-05 20480 18000 ALLOCATE
251 2.4877e-05 20480 18072 ALLOCATE
252 5.7597e-05 20480 18144 ALLOCATE
253 2.9656e-05 20480 18216 ALLOCATE
254 2.9645e-05 20480 18288 ALLOCATE
255 2.6349e-05 20480 18360 ALLOCATE
256 2.5247e-05 20480 18432 ALLOCATE
257 2.5317e-05 20480 18504 ALLOCATE
258 2.5578e-05 20480 18576 ALLOCATE
259 4.1548e-05 20480 18648 ALLOCATE
260 2.4195e-05 20480 18720 ALLOCATE
261 2.6269e-05 20480 18792 ALLOCATE
262 3.1318e-05 20480 18864 ALLOCATE
263 3.3512e-05 20480 18936 ALLOCATE
264 2.5838e-05 20480 19008 ALLOCATE
265 2.5017e-05 20480 19080 ALLOCATE
266 3.3512e-05 20480 19152 ALLOCATE
267 3.251e-05 20480 19224 ALLOCATE
268 2.5708e-05 20480 19296 ALLOCATE
269 2.5657e-05 20480 19368 ALLOCATE
270 2.5447e-05 20480 19440 ALLOCATE
271 2.4565e-05 20480 19512 ALLOCATE
272 3.2069e-05 20480 19584 ALLOCATE
273 6.3388e-05 20480 19656 ALLOCATE
274 3.1008e-05 20480 19728 ALLOCATE
275 2.7351e-05 20480 19800 ALLOCATE
276 3.5476e-05 20480 19872 ALLOCATE
277 3.5196e-05 20480 19944 ALLOCATE
278 2.5037e-05 20480 20016 ALLOCATE
279 2.7151e-05 20480 20088 ALLOCATE
280 2.5297e-05 20480 20160 ALLOCATE
281 3.4554e-05 24576 20232 ALLOCATE
282 3.2942e-05 24576 20304 ALLOCATE
