objectsCount time allocatedMemory usedMemory commandType
1 0.000113431 4096 72 ALLOCATE
2 5.711e-06 4096 144 ALLOCATE
3 1.7202e-05 4096 216 ALLOCATE
4 5.69e-06 4096 288 ALLOCATE
5 2.5207e-05 4096 360 ALLOCATE
6 5.73e-06 4096 432 ALLOCATE
7 1.6851e-05 4096 504 ALLOCATE
8 6.122e-06 4096 576 ALLOCATE
9 3.5676e-05 4096 648 ALLOCATE
10 5.731e-06 4096 720 ALLOCATE
11 1.7042e-05 4096 792 ALLOCATE
12 6.041e-06 4096 864 ALLOCATE
13 2.5788e-05 4096 936 ALLOCATE
14 4.949e-06 4096 1008 ALLOCATE
15 2.8352e-05 4096 1080 ALLOCATE
16 7.794e-06 4096 1152 ALLOCATE
17 4.1948e-05 4096 1224 ALLOCATE
18 5.571e-06 4096 1296 ALLOCATE
19 2.2382e-05 4096 1368 ALLOCATE
20 7.504e-06 4096 1440 ALLOCATE
21 2.2071e-05 4096 1512 ALLOCATE
22 6.062e-06 4096 1584 ALLOCATE
23 1.4988e-05 4096 1656 ALLOCATE
24 5.691e-06 4096 1728 ALLOCATE
25 2.8593e-05 4096 1800 ALLOCATE
26 4.428e-06 4096 1872 ALLOCATE
27 1.3856e-05 4096 1944 ALLOCATE
28 7.183e-06 4096 2016 ALLOCATE
29 2.9935e-05 4096 2088 ALLOCATE
30 5.17e-06 4096 2160 ALLOCATE
31 1.8765e-05 4096 2232 ALLOCATE
32 5.14e-06 4096 2304 ALLOCATE
33 4.3751e-05 8192 2376 ALLOCATE
34 5.18e-06 8192 2448 ALLOCATE
35 1.3956e-05 8192 2520 ALLOCATE
36 5.2e-06 8192 2592 ALLOCATE
37 2.0569e-05 8192 2664 ALLOCATE
38 4.439e-06 8192 2736 ALLOCATE
39 1.4117e-05 8192 2808 ALLOCATE
40 5.962e-06 8192 2880 ALLOCATE
41 2.711e-05 8192 2952 ALLOCATE
42 4.358e-06 8192 3024 ALLOCATE
43 1.4437e-05 8192 3096 ALLOCATE
44 5.47e-06 8192 3168 ALLOCATE
45 2.6589e-05 8192 3240 ALLOCATE
46 5.551e-06 8192 3312 ALLOCATE
47 1.7473e-05 8192 3384 ALLOCATE
48 5.69e-06 8192 3456 ALLOCATE
49 6.9449e-05 8192 3528 ALLOCATE
50 5.831e-06 8192 3600 ALLOCATE
51 1.4216e-05 8192 3672 ALLOCATE
52 6.743e-06 8192 3744 ALLOCATE
53 2.2081e-05 8192 3816 ALLOCATE
54 4.438e-06 8192 3888 ALLOCATE
55 1.4306e-05 8192 3960 ALLOCATE
56 7.935e-06 8192 4032 ALLOCATE
57 2.9725e-05 8192 4104 ALLOCATE
58 4.93e-06 8192 4176 ALLOCATE
59 1.6741e-05 8192 4248 ALLOCATE
60 5.03e-06 8192 4320 ALLOCATE
61 2.122e-05 8192 4392 ALLOCATE
62 4.408e-06 8192 4464 ALLOCATE
63 1.4907e-05 8192 4536 ALLOCATE
64 5.21e-06 8192 4608 ALLOCATE
65 4.31e-05 12288 4680 ALLOCATE
66 4.449e-06 12288 4752 ALLOCATE
67 1.4367e-05 12288 4824 ALLOCATE
68 4.489e-06 12288 4896 ALLOCATE
69 2.135e-05 12288 4968 ALLOCATE
70 4.829e-06 12288 5040 ALLOCATE
71 1.4587e-05 12288 5112 ALLOCATE
72 5.7e-06 12288 5184 ALLOCATE
73 2.7752e-05 12288 5256 ALLOCATE
74 4.438e-06 12288 5328 ALLOCATE
75 1.4407e-05 12288 5400 ALLOCATE
76 4.438e-06 12288 5472 ALLOCATE
77 2.7481e-05 12288 5544 ALLOCATE
78 4.809e-06 12288 5616 ALLOCATE
79 1.5088e-05 12288 5688 ALLOCATE
80 4.459e-06 12288 5760 ALLOCATE
81 3.5026e-05 12288 5832 ALLOCATE
82 4.769e-06 12288 5904 ALLOCATE
83 1.5008e-05 12288 5976 ALLOCATE
84 4.479e-06 12288 6048 ALLOCATE
85 2.191e-05 12288 6120 ALLOCATE
86 4.919e-06 12288 6192 ALLOCATE
87 1.5429e-05 12288 6264 ALLOCATE
88 4.499e-06 12288 6336 ALLOCATE
89 2.8864e-05 12288 6408 ALLOCATE
90 5.35e-06 12288 6480 ALLOCATE
91 1.5128e-05 12288 6552 ALLOCATE
92 4.428e-06 12288 6624 ALLOCATE
93 2.2301e-05 12288 6696 ALLOCATE
94 4.719e-06 12288 6768 ALLOCATE
95 1.5289e-05 12288 6840 ALLOCATE
96 4.439e-06 12288 6912 ALLOCATE
97 4.4794e-05 16384 6984 ALLOCATE
98 4.448e-06 16384 7056 ALLOCATE
99 1.5148e-05 16384 7128 ALLOCATE
100 6.041e-06 16384 7200 ALLOCATE
101 2.2442e-05 16384 7272 ALLOCATE
102 4.759e-06 16384 7344 ALLOCATE
103 1.9977e-05 16384 7416 ALLOCATE
104 5.891e-06 16384 7488 ALLOCATE
105 4.0285e-05 16384 7560 ALLOCATE
106 4.869e-06 16384 7632 ALLOCATE
107 1.587e-05 16384 7704 ALLOCATE
108 5.169e-06 16384 7776 ALLOCATE
109 2.2622e-05 16384 7848 ALLOCATE
110 5.831e-06 16384 7920 ALLOCATE
111 1.601e-05 16384 7992 ALLOCATE
112 8.315e-06 16384 8064 ALLOCATE
113 3.8131e-05 16384 8136 ALLOCATE
114 4.459e-06 16384 8208 ALLOCATE
115 1.573e-05 16384 8280 ALLOCATE
116 4.429e-06 16384 8352 ALLOCATE
117 2.4556e-05 16384 8424 ALLOCATE
118 4.568e-06 16384 8496 ALLOCATE
119 1.621e-05 16384 8568 ALLOCATE
120 6.182e-06 16384 8640 ALLOCATE
121 3.74e-05 16384 8712 ALLOCATE
122 4.859e-06 16384 8784 ALLOCATE
123 1.605e-05 16384 8856 ALLOCATE
124 4.578e-06 16384 8928 ALLOCATE
125 2.3544e-05 16384 9000 ALLOCATE
126 5.33e-06 16384 9072 ALLOCATE
127 1.8223e-05 16384 9144 ALLOCATE
128 4.408e-06 16384 9216 ALLOCATE
129 6.4891e-05 20480 9288 ALLOCATE
130 4.428e-06 20480 9360 ALLOCATE
131 1.5809e-05 20480 9432 ALLOCATE
132 5.209e-06 20480 9504 ALLOCATE
133 2.3023e-05 20480 9576 ALLOCATE
134 4.459e-06 20480 9648 ALLOCATE
135 1.5549e-05 20480 9720 ALLOCATE
136 5.22e-06 20480 9792 ALLOCATE
137 3.0016e-05 20480 9864 ALLOCATE
138 4.388e-06 20480 9936 ALLOCATE
139 4.305e-05 20480 10008 ALLOCATE
140 5.55e-06 20480 10080 ALLOCATE
141 2.2873e-05 20480 10152 ALLOCATE
142 4.678e-06 20480 10224 ALLOCATE
143 1.599e-05 20480 10296 ALLOCATE
144 4.929e-06 20480 10368 ALLOCATE
145 5.4682e-05 20480 10440 ALLOCATE
146 4.659e-06 20480 10512 ALLOCATE
147 2.0959e-05 20480 10584 ALLOCATE
148 6.042e-06 20480 10656 ALLOCATE
149 2.4736e-05 20480 10728 ALLOCATE
150 5.44e-06 20480 10800 ALLOCATE
151 1.6942e-05 20480 10872 ALLOCATE
152 6.562e-06 20480 10944 ALLOCATE
153 3.1138e-05 20480 11016 ALLOCATE
154 5.521e-06 20480 11088 ALLOCATE
155 1.6099e-05 20480 11160 ALLOCATE
156 5.06e-06 20480 11232 ALLOCATE
157 3.5577e-05 20480 11304 ALLOCATE
158 4.829e-06 20480 11376 ALLOCATE
159 1.6631e-05 20480 11448 ALLOCATE
160 5.129e-06 20480 11520 ALLOCATE
161 4.9342e-05 24576 11592 ALLOCATE
162 5.64e-06 24576 11664 ALLOCATE
163 1.618e-05 24576 11736 ALLOCATE
164 6.472e-06 24576 11808 ALLOCATE
165 2.661e-05 24576 11880 ALLOCATE
166 4.428e-06 24576 11952 ALLOCATE
167 1.6841e-05 24576 12024 ALLOCATE
168 5.33e-06 24576 12096 ALLOCATE
169 3.0637e-05 24576 12168 ALLOCATE
170 5.901e-06 24576 12240 ALLOCATE
171 1.8204e-05 24576 12312 ALLOCATE
172 4.959e-06 24576 12384 ALLOCATE
173 2.3774e-05 24576 12456 ALLOCATE
174 4.439e-06 24576 12528 ALLOCATE
175 1.629e-05 24576 12600 ALLOCATE
